,product,purchased_with
0,	 Crab Cakes (Snow Lotus x GSC),Cherry Boat (11 Week Pink Kush S1) | 2x1g
1,1 1/4 Flavoured Papers,Roses Lush Apple Pear Infused Rose Petal Pre-Roll
2,10 : 10 Softgels,CBD Caps 50
3,"10"" Iridescent Waterpipe - Dark Smoke",Glass Gandalf Pipe - Iridescent - Dark Green
4,"10"" Iridescent Waterpipe - Gold",Blend19 Pre-Roll
5,"10"" Thin Clear Beaker",Grav - Hammer Bubbler - Jade Green
6,10th Planet (Planet of The Grapes x Quattro Kush) Pre-Rolls,Donair Kush (Platinum OG Kush x Kush Mints)
7,10th Planet Pre-Rolls,10th Planet Pre-Rolls
8,11 Week Pink,Grand Daddy Purps (Purple Urkle x Big Bud)
9,11 Week Pink (OG Kush Phenotype),Grand Daddy Purps (Purple Urkle x Big Bud)
10,11 Week Pink (OG Kush Relative),Triple Berry Supreme (BCP)
11,15:30,Strawberry Ghost Mint Infused Live Resin 510 Thread Cart
12,1964 - Organic Comatose Indica - 14g,Cold Creek Kush
13,2 x Big Buddy Sativa (NYPD) Pre-Roll,2 x Big Buddy Sativa (NYPD) Pre-Roll
14,2 x Big Buddy Sativa Pre-Roll,2 x Big Buddy Sativa (NYPD) Pre-Roll
15,"2"" Four Piece Grinder - Black","2"" Four Piece Grinder - Black"
16,"2"" Four Piece Grinder - Golds",Puffco - The Peak Pro
17,"2.5"" Four Piece Grinder - Black",Puffco - The Peak Pro
18,"2.5"" Four Piece Grinder - Silver",Puffco - The Peak Pro
19,232 Series Cherry Stomper Diamond Infused Pre-Rolls,Tiger Berry (Do-Si-Dos x Mandarin Sunset) Infused Pre-Roll
20,232 Series Sunda(*) Driver Live Terpene Sticks,Honey Oil infused Pre-Roll
21,24 Js FOR THE HOLIDAYS ADVENT CALENDAR (Jack herer | Pink Kush | Dos Z Dos | Candy Cane),Tiger Blood THC Gummy (1:0)
22,24 Js For The Holidays - Advent Calendar (Mis of Different Strains) | 24x0.25g,"Diesel Pocket Puffs (Wappa, Space Cake & Ghost Train Haze) | 4x0.5g"
23,24K Gold (Tangie x Kosher Kush) Crumbled & Infused [Diamonds] | 1g,24K Gold (Tangie x Kosher Kush) Crumbled & Infused [Diamonds] | 1g
24,24K Gold Apricot Mango Kush Sativa 510 Thread Cartridge,24K Gold Apricot Mango Kush Sativa 510 Thread Cartridge
25,24K Gold Hybrid Crumbled & Infused,24K Gold (Tangie x Kosher Kush) Crumbled & Infused [Diamonds] | 1g
26,33 Splitter,Cherry Bomb (Mamas Chili Bomb x Headspace)
27,33 Splitter Pre-Roll,Hash Rosin Drops - Mint
28,"4 Cultivar Pack (Georgia Pie, GP20, LPC 75 & Pink Rozay)",Pink RZY [Distillate] | 1g
29,"4 Quarters (Early Skunk, 91 Octane, Mint Chip & Cement Choes)",Mac n Cookies (MAC x Alien Cookies) | 1x1g
30,"4 Quarters (Early Skunk, Guava Kush, Mint Chip & Deep Space)",Queen SanG (Mimosa x Royal Kush)
31,"4"" Replacement Downstem",Glass Taster (one-hitter) - Dark Green
32,"4"" Sherlock Fritter Hand Pipe",Donair Kush (Platinum OG Kush x Kush Mints)
33,5 Loco Distillate Infused Pre-Roll,5 Loco Distillate Infused Pre-Roll
34,5 Loco [Distillate/Kief] | 5x0.5g,5 Loco [Distillate/Kief] | 5x0.5g
35,5 Star Sativa (Menthol x Legend Orange Apricot F2),5 Star Sativa (Menthol x Legend Orange Apricot F2)
36,5 Star Sativa (Menthol x Legend Orange Apricot F2) Pre-Roll,Nana's Jam 510 Thread Cartridge
37,5 Star Sativa Pre-Roll,Purple Jane HTFSE  510 Thread Cartridge
38,"5.5"" Bent Apple Rosewood Pipe by Shire Pipe",Wes Coast Kush (OG Kush x ??)
39,510 Vape Battery,510 Vape Battery
40,"7.5"" RBoRb Concentrate Recycler",Cured Resin (GMO x Jet Fuel Gelato)
41,8 Ball Kush Shatter,Puffco - The Peak Pro
42,8 Ball Kush Shatter Double Infused Pre-roll,8-Ball Kush [Shatter/Kief] | 1x1g
43,8-Ball Kush [Shatter/Kief] | 1x1g,Pink RZY [Distillate] | 1g
44,91' Royale (Face Mints x Biscotti x Sherbinski BX),Mint Chocolate Chip (Mystery Cookies x Green Ribbon)
45,950 Series Honey Grapefruit (Grapefruit Cookies x (Pugsbreath F2 x Mendobreath F4) Pre-Roll,950 Series Honey Grapefruit (Grapefruit Cookies x (Pugsbreath F2 x Mendobreath F4) Pre-Roll
46,950 Series Honey Grapefruit Pre-Roll,950 Series Honey Grapefruit (Grapefruit Cookies x (Pugsbreath F2 x Mendobreath F4) Pre-Roll
47,AAA+ Indica (Jealousy x LPC75),R.C.S. Collective: Grand Daddy (Mendo Purps x Skunk x Afghan)
48,AAA+ Sativa (Peanut Butter Cake),Raw - Classic Unbleached
49,AAAA,Terple LSO (Tropicana Cookies x Slurricane)
50,AAAA - Loud Mouth (Slurricane x Margy Mints),Terple LSO (Tropicana Cookies x Slurricane)
51,AAAA - Sherbmints (Sunset Sherbet x Kush Mints),Animal Sorbet x Kush Mints BLNT Pre-Roll
52,ANIMAL RNTZ (Animal Cookies x RNTZ),Afghan Black Hash
